epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
86,8229.41,1.24707,1.60499,1.13687,0.01603,0.07902,0.58876,0.34593,0.42862,0.2794,0.58062,0.35195,0.417,0.24759,1.48182,2.45566,2.09179,0.02343,0,0.0008317,0.0008317,0.0008317
87,8324.61,1.2009,1.53854,1.0351,0.01574,0.07198,0.61588,0.31786,0.40069,0.27101,0.60899,0.32035,0.39422,0.24182,1.52089,2.61461,2.23395,0.02455,0,0.00082972,0.00082972,0.00082972
88,8419.74,1.19144,1.5427,1.09601,0.01625,0.07919,0.55931,0.36164,0.38883,0.26835,0.55675,0.36144,0.38623,0.2385,1.52988,2.59291,2.33059,0.02453,0,0.00082774,0.00082774,0.00082774
89,8514.89,1.18025,1.66763,1.16401,0.01638,0.07442,0.55593,0.38409,0.41539,0.29044,0.66826,0.30661,0.40069,0.25491,1.46679,2.51776,2.20392,0.02336,0,0.00082576,0.00082576,0.00082576
90,8610.17,1.18116,1.54105,1.10064,0.01561,0.07234,0.63312,0.33504,0.44082,0.2991,0.62114,0.3287,0.42272,0.26107,1.53722,2.52884,2.22163,0.02525,0,0.00082378,0.00082378,0.00082378
91,8705.36,1.18139,1.55354,1.06627,0.01615,0.07517,0.55471,0.36224,0.3799,0.27553,0.63036,0.32483,0.37049,0.23847,1.46102,2.52479,2.28801,0.02306,0,0.0008218,0.0008218,0.0008218
92,8800.5,1.14446,1.5731,1.0415,0.01474,0.07861,0.44415,0.36432,0.36948,0.26039,0.45586,0.34148,0.34427,0.21963,1.47309,2.5428,2.16939,0.0234,0,0.00081982,0.00081982,0.00081982
93,8895.56,1.18025,1.53354,1.01609,0.01524,0.07717,0.45506,0.41563,0.42299,0.28899,0.58324,0.33031,0.40543,0.25333,1.4888,2.52253,2.22157,0.02411,0,0.00081784,0.00081784,0.00081784
94,8990.83,1.20408,1.50452,1.04033,0.01559,0.0711,0.40797,0.39363,0.42446,0.28797,0.42495,0.37413,0.40103,0.25015,1.48988,2.53109,2.15498,0.02362,0,0.00081586,0.00081586,0.00081586
95,9085.97,1.15252,1.43946,1.01632,0.01597,0.06976,0.53695,0.3492,0.42795,0.28156,0.53525,0.34445,0.40261,0.23096,1.53818,2.47004,2.28543,0.02464,0,0.00081388,0.00081388,0.00081388
